
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0        136 K
Secure System                  236 Services                   0     65,104 K
Registry                       280 Services                   0     58,440 K
smss.exe                       812 Services                   0        644 K
csrss.exe                     1284 Services                   0      3,044 K
wininit.exe                   1372 Services                   0      3,784 K
services.exe                  1448 Services                   0      7,972 K
LsaIso.exe                    1456 Services                   0      1,920 K
lsass.exe                     1476 Services                   0     21,704 K
svchost.exe                   1608 Services                   0     32,780 K
fontdrvhost.exe               1636 Services                   0        912 K
WUDFCompanionHost.exe         1688 Services                   0      1,016 K
svchost.exe                   1708 Services                   0     14,876 K
svchost.exe                   1772 Services                   0      7,324 K
svchost.exe                   1984 Services                   0     14,376 K
svchost.exe                   1988 Services                   0      6,000 K
svchost.exe                   2008 Services                   0      1,260 K
svchost.exe                   1364 Services                   0      5,640 K
svchost.exe                   1384 Services                   0      6,652 K
svchost.exe                   1936 Services                   0      9,796 K
svchost.exe                   2052 Services                   0      2,968 K
svchost.exe                   2140 Services                   0      4,604 K
svchost.exe                   2188 Services                   0      7,364 K
svchost.exe                   2196 Services                   0      5,564 K
svchost.exe                   2232 Services                   0      6,628 K
svchost.exe                   2340 Services                   0      4,948 K
svchost.exe                   2360 Services                   0      5,496 K
svchost.exe                   2416 Services                   0      1,792 K
svchost.exe                   2484 Services                   0     15,744 K
svchost.exe                   2544 Services                   0      7,024 K
svchost.exe                   2720 Services                   0      4,484 K
svchost.exe                   2780 Services                   0     11,408 K
svchost.exe                   2988 Services                   0      6,908 K
svchost.exe                   2800 Services                   0      3,972 K
svchost.exe                   3088 Services                   0      2,380 K
NVDisplay.Container.exe       3280 Services                   0     26,200 K
svchost.exe                   3380 Services                   0     10,296 K
svchost.exe                   3444 Services                   0     20,148 K
svchost.exe                   3508 Services                   0      8,256 K
svchost.exe                   3512 Services                   0      1,700 K
svchost.exe                   3524 Services                   0      5,144 K
Memory Compression            3660 Services                   0     81,268 K
svchost.exe                   3740 Services                   0      6,040 K
svchost.exe                   3836 Services                   0      3,864 K
svchost.exe                   3844 Services                   0      5,336 K
svchost.exe                   3932 Services                   0     10,484 K
svchost.exe                   3968 Services                   0      3,664 K
svchost.exe                   4044 Services                   0      5,680 K
QHActiveDefense.exe           4052 Services                   0    130,500 K
svchost.exe                   3156 Services                   0     14,924 K
svchost.exe                   3804 Services                   0      4,696 K
svchost.exe                   4256 Services                   0     15,196 K
svchost.exe                   4336 Services                   0     16,148 K
svchost.exe                   4392 Services                   0     10,800 K
spoolsv.exe                   4520 Services                   0      6,196 K
svchost.exe                   4620 Services                   0     15,872 K
WmiPrvSE.exe                  4776 Services                   0     12,008 K
svchost.exe                   4816 Services                   0      3,020 K
AISControlService.exe         4968 Services                   0      1,076 K
RtkBtManServ.exe              5032 Services                   0      4,060 K
svchost.exe                   5052 Services                   0     25,084 K
AnyDesk.exe                   4728 Services                   0     14,400 K
svchost.exe                   5068 Services                   0     45,356 K
svchost.exe                   5152 Services                   0     23,548 K
svchost.exe                   5160 Services                   0      6,764 K
RtkAudUService64.exe          5168 Services                   0      5,016 K
MpDefenderCoreService.exe     5208 Services                   0     12,932 K
svchost.exe                   5216 Services                   0     14,296 K
NahimicService.exe            5224 Services                   0      8,732 K
MsMpEng.exe                   5236 Services                   0     65,760 K
svchost.exe                   5244 Services                   0      2,332 K
svchost.exe                   5988 Services                   0      4,096 K
QHWatchdog.exe                7096 Services                   0      1,364 K
AggregatorHost.exe            7144 Services                   0      6,600 K
svchost.exe                   7248 Services                   0      5,308 K
svchost.exe                   7988 Services                   0     14,644 K
svchost.exe                   7372 Services                   0     14,912 K
svchost.exe                   8556 Services                   0     26,168 K
svchost.exe                   8148 Services                   0      8,760 K
SecurityHealthService.exe     6592 Services                   0     14,824 K
svchost.exe                  11876 Services                   0      8,844 K
svchost.exe                   3404 Services                   0      1,352 K
svchost.exe                   6252 Services                   0      6,480 K
svchost.exe                  13576 Services                   0      7,372 K
svchost.exe                   3224 Services                   0      4,204 K
svchost.exe                   9408 Services                   0     15,640 K
